"","SEXORNT","REALINC","CONINC","CONRINC","BALLOT","WRKSTAT","HRS1","HRS2","WRKSLF","OCC10","INDUS10","MARITAL","DIVORCE","WIDOWED","SPWRKSLF","SPPRES80","SPOCC10","SPIND10","PAWRKSLF","PAOCC10","PAIND10","MAWRKSLF","MAOCC10","MAIND10","SIBS","CHILDS","AGE","AGEKDBRN","EDUC","PAEDUC","MAEDUC","SPEDUC","DEGREE","PADEG","MADEG","SPDEG","DIPGED","SEX","RACE","RES16","REG16","FAMILY16","FAMDIF16","INCOM16","INCOME","REGION","PARTYID","NATEDUC","NATEDUCY","ATTEND","RELIG16","HAPPY","HAPMAR","HAPCOHAB","HEALTH","LIFE","CONEDUC","SOCREL","SOCOMMUN","SOCFREND","SOCBAR","WEEKSWRK","JOBLOSE","JOBFIND","SATJOB","SATFIN","ABNOMORE","ABHLTH","ABPOOR","ABANY","PILLOK","SEXEDUC","FECHLD","COMPUSE","YEARSJOB","MNTLHLTH","INTEDUC","SPSCHOOL","OPPARED","OPEDUC","OPSEX","TOPPROB1","TOPPROB2","MASEI10","PASEI10","SEI10","SPSEI10","INCOME16","HLTHSTRT","COSEI10","ID_","YEAR"
"1",3,40900,63300,63300,3,1,40,-100,2,430,6290,3,-100,2,-100,-70,-100,-100,1,800,7280,2,2010,9480,1,1,72,27,16,16,16,-100,3,3,4,-100,1,2,1,5,2,1,-100,4,12,1,0,1,-100,2,4,3,-100,-100,2,2,3,-100,-100,-100,-100,52,-100,-100,3,3,-100,-100,-100,-100,-100,-100,-100,-100,18,15,-70,-70,-70,-70,-70,-70,-70,62.9,76.3,67.7,-100,22,-100,-100,1,2022
"2",-100,-100,-100,-100,1,5,-100,-100,2,50,6695,1,2,1,2,-70,2340,6695,2,8900,1370,-100,-100,-100,3,2,80,24,18,12,12,16,4,1,1,3,1,1,1,5,3,1,-100,2,-100,1,3,2,-100,2,2,3,2,-100,2,2,-100,5,6,5,5,0,-100,-100,-100,2,-100,-100,-100,-100,2,1,3,1,-100,-100,-70,-70,-70,-70,-70,-70,-70,-100,26.8,73.9,59.1,-98,-100,-100,2,2022
"3",3,18405,28485,28485,3,1,52,-100,2,4610,8290,3,-100,2,-100,-70,-100,-100,2,4220,7860,2,4720,4970,1,1,57,27,12,14,11,-100,1,1,0,-100,1,2,1,3,1,3,-100,2,12,1,5,-100,1,0,1,3,-100,-100,2,2,3,-100,-100,-100,-100,47,-100,-100,3,2,1,1,1,1,-100,-100,-100,-100,6,0,-70,-70,-70,-70,-70,-70,-70,21.6,20.7,20.1,-100,18,-100,-100,3,2022
"4",-100,40900,63300,3481.5,1,3,-100,25,2,4120,8660,5,-100,-100,-100,-70,-100,-100,2,8965,2990,2,3255,8190,1,0,23,-100,16,14,18,-100,3,1,4,-100,1,2,1,3,1,1,-100,4,12,1,0,1,-100,4,2,3,-100,-100,2,2,-100,3,3,3,3,40,4,1,3,1,-100,-100,-100,-100,2,1,2,1,5,10,-70,-70,-70,-70,-70,-70,-70,84.2,26.8,17,-100,22,-100,-100,4,2022
"5",3,11247.5,17407.5,-100,3,8,-100,-100,2,7330,3390,5,-100,-100,-100,-70,-100,-100,2,6260,770,2,5700,3490,2,2,62,21,14,12,16,-100,1,1,3,-100,1,1,1,3,1,1,-100,3,12,1,3,-100,2,2,2,2,-100,2,3,2,2,-100,-100,-100,-100,0,-100,-100,-100,3,2,1,1,1,-100,-100,-100,-100,-100,-100,-70,-70,-70,-70,-70,-70,-70,38.8,25.2,42.8,-100,15,-100,24.2,5,2022
"6",3,22495,34815,34815,3,1,50,-100,2,4610,8180,5,-100,-100,-100,-70,-100,-100,2,4850,1870,2,5240,4970,1,0,27,-100,12,12,14,-100,1,1,2,-100,1,1,1,3,2,1,-100,1,12,2,1,1,-100,0,2,2,-100,1,1,1,1,-100,-100,-100,-100,50,-100,-100,2,2,-100,-100,-100,-100,-100,-100,-100,-100,6,-97,-70,-70,-70,-70,-70,-70,-70,37.6,62,20.1,-100,19,-100,43,6,2022
"7",3,15337.5,23737.5,23737.5,3,2,30,-100,2,1105,8090,5,-100,-100,-100,-70,-100,-100,2,9620,4470,-100,-100,-100,3,0,20,-100,12,11,9,-100,1,1,0,-100,1,2,3,6,2,1,-100,3,12,2,2,-100,1,1,1,2,-100,-100,2,2,2,-100,-100,-100,-100,52,-100,-100,3,3,1,1,1,1,-100,-100,-100,-100,0.75,14,-70,-70,-70,-70,-70,-70,-70,-100,23.3,74.8,-100,17,1,-100,7,2022
"8",3,135195.96432,158424.85359,52222.5,3,1,40,-100,2,2200,7870,1,2,2,2,-70,2200,7870,1,9130,4470,2,5140,580,3,0,47,-100,16,6,18,16,4,0,4,4,1,1,1,4,9,1,-100,2,12,2,0,-100,1,1,2,2,1,-100,2,2,2,-100,-100,-100,-100,52,-100,-100,2,1,1,1,1,1,-100,-100,-100,-100,10,0,-70,-70,-70,-70,-70,-70,-70,41.8,32,84.5,84.5,26,-100,-100,8,2022
"9",-100,9713.75,15033.75,10286.25,1,1,31,-100,2,4110,8680,5,-100,-100,-100,-70,-100,-100,1,310,8680,1,4110,8680,4,1,31,28,12,12,10,-100,1,1,0,-100,2,2,1,3,5,0,-100,3,11,2,2,-100,1,0,2,2,-100,-100,2,1,-100,2,3,7,6,32,4,2,1,3,1,1,1,1,3,1,2,2,1,5,-70,-70,-70,-70,-70,-70,-70,19.6,41,19.6,-100,14,1,-100,9,2022
"10",3,4601.25,7121.25,-100,2,5,-100,-100,2,3600,8170,5,-100,-100,-100,-70,-100,-100,2,9620,2570,-100,-100,-100,6,4,72,21,12,-98,-98,-100,1,-98,-98,-100,2,2,-100,3,2,0,-100,2,9,2,0,-100,2,7,1,2,-100,-100,1,-100,1,5,7,7,7,0,-100,-100,-100,1,-100,-100,-100,-100,2,2,1,2,-100,-100,-70,-70,-70,-70,-70,-70,-70,-100,23.3,24.2,-100,9,2,-100,10,2022
